reaction_id,gene_id
CYTDK2,b2066
XPPT,b0238
HXPRT,b0238
HXPRT,b0125
NDPK5,b0474
NDPK5,b2518
SHK3Dr,b1692
SHK3Dr,b3281
NDPK6,b0474
NDPK6,b2518
NDPK8,b0474
NDPK8,b2518
DHORTS,b1062
OMPDC,b1281
PYNP2r,b3831
G5SD,b0243
CS,b0720
ICDHyr,b1136
ALATA_L2,b2551
ALATA_L2,b0870
DURIPP,b4384
DURIPP,b4382
ACALD,b0351
ACALD,b1241
PTRCTA,b3073
ACS,b4069
CYSDS,b3708
CYSDS,b3008
MAN6PI,b1613
PPA,b2502
PPA,b4226
PPA,b2744
APRAUR,b0414
TRPAS2,b3708
PPCK,b3403
ME1,b1479
DB4PS,b3041
ALAR,b1190
ALAR,b4053
RBFK,b0025
ALATA_L,b2379
ALATA_L,b2290
XYLK,b3564
XYLK,b0063
RBK,b3752
GLYK,b3926
PPM,b4383
ASPTA,b4054
ASPTA,b0928
ACP1_FMN,b0446
ACP1_FMN,b0844
ACP1_FMN,b3812
RBFSb,b1662
NDP3,b3614
NDP3,b1134
CDPPH,b3614
NDP7,b3614
FBP,b3925
FBP,b3697
FBP,b2930
FBP,b4232
GLGC,b3430
ALATA_D2,b2551
ALATA_D2,b0870
PYK,b1854
PYK,b1676
SHCHD2,b3368
A5PISO,b3197
A5PISO,b2708
PMDPHT,b0844
PMDPHT,b3812
CPPPGO,b2436
GTHOr,b3500
ILETA,b3770
DHORD5,b0945
GLYCTO2,b4468
GLYCTO2,b4467
GLYCTO2,b2979
VALTA,b3770
GLYCTO3,b4468
GLYCTO3,b4467
GLYCTO3,b2979
IPPMIb,b0071
IPPMIb,b0072
GLYCTO4,b4468
GLYCTO4,b4467
GLYCTO4,b2979
ORPT,b3642
RBFSa,b0415
ACHBS,b3670
ACHBS,b0077
ACHBS,b3671
ACHBS,b0078
PFK_3,b3916
DHAD2,b3771
ACLS,b3670
ACLS,b0077
ACLS,b3671
ACLS,b0078
TRPS2,b1260
TRPS2,b1261
PSCVT,b0908
G3PD5,b2241
G3PD5,b2242
G3PD5,b2243
G3PD5,b3426
G1PP,b3697
G1PP,b3885
G1PP,b2293
PFL,b3114
PFL,b3952
PFL,b2579
PFL,b0903
PFL,b3951
PFL,b0902
ANS,b1264
ANS,b1263
FRD2,b4154
FRD2,b4153
FRD2,b4151
FRD2,b4152
FRD3,b4154
FRD3,b4153
FRD3,b4151
FRD3,b4152
ANPRT,b1263
POX,b0871
CHORM,b2599
CHORM,b2600
PTAr,b2458
PTAr,b2297
CHORS,b2329
IGPS,b1262
ACKr,b3115
ACKr,b1849
ACKr,b2296
LEUTAi,b4054
LEUTAi,b3770
DMATT,b0421
GRTT,b0421
UPP3S,b3804
UPPDC1,b3997
TMDPP,b4382
MOAT,b3633
UDCPDPS,b0174
ECOAH6,b3846
ECOAH6,b2341
USHD,b0524
ENO,b2779
FBA,b2925
FBA,b2097
HCO3E,b0339
HCO3E,b0126
MGSA,b0963
IMPC,b4006
IMPD,b2508
PPS,b1702
ECOAH4,b3846
ECOAH4,b2341
LPADSS,b0182
GLUTRS,b2400
TDSK,b0915
PGI,b4025
TMPPP,b3993
PGK,b2926
EDA,b1850
NTPP1,b0099
NTPP1,b2781
URIK1,b2066
URIK2,b2066
NTPP2,b0099
NTPP2,b2781
PGL,b0767
NTPTP1,b0160
NTPTP2,b0160
CYTDK1,b2066
RPE,b3386
DHQTi,b1693
IPMD,b0073
IPMD,b1800
AIRC3,b0523
TALA,b2464
TALA,b0008
PUNP1,b4384
PUNP2,b4384
PUNP3,b4384
PUNP3,b2407
ADSL2r,b1131
TKT1,b2935
TKT1,b2465
PUNP5,b4384
PUNP5,b2407
PUNP6,b4384
PUNP6,b2407
PUNP7,b2407
G6PDA,b0678
RNDR1,b3781
RNDR1,b2234
RNDR1,b2582
RNDR1,b2235
ALCD2x,b1478
ALCD2x,b1241
RNDR3,b2582
RNDR3,b2234
RNDR3,b3781
RNDR3,b2235
RNDR4,b2582
RNDR4,b2234
RNDR4,b3781
RNDR4,b2235
ALDD2y,b0493
ALDD2y,b3588
ALDD2y,b4269
ALDD2y,b3011
ALDD2y,b3003
TMDS,b2827
RMI,b3903
TMDK1,b1238
LYSAM,b4146
PPCDC,b3639
FTHFD,b1232
DHAD1,b3771
IPPMIa,b0071
IPPMIa,b0072
G3PD7,b2241
G3PD7,b2242
G3PD7,b2243
EDD,b1851
NADH9,b0046
NADH9,b3713
NADH9,b1004
NADH9,b1109
NADH10,b0046
NADH10,b3713
NADH10,b1004
NADH10,b1109
ADK4,b0474
INSK,b0477
MDH,b3236
ABTA,b1302
ABTA,b2662
FUM,b1612
FUM,b4122
FUM,b1611
FMNAT,b0025
PYDXNK,b2418
PYAM5PO,b1638
SSALx,b1525
ASPT,b4139
OHPBAT,b0907
SERD_L,b2797
SERD_L,b3708
SERD_L,b1814
SERD_L,b3117
SERD_L,b4471
NADDP,b2411
NADDP,b3996
THRD,b3616
THRD,b3589
NMNAT,b0639
NMNAT,b4390
KARA1,b3774
HMPK1,b2103
HMPK1,b2418
KARA2,b3774
ACCOAC,b0185
ACCOAC,b3256
ACCOAC,b3255
ACCOAC,b2316
NADK,b2615
GLXCL,b0507
ICHORS_copy2,b2265
SUCBZS,b2261
DHBD,b0596
ICHORT,b0595
GLUTRR,b1210
GLCS1,b3429
GLCP,b3417
GLCP,b3428
RBK_L1,b0063
RBP4E,b3583
RBP4E,b4198
RBP4E,b0061
TARTD,b3062
TARTD,b3061
NTD2,b4374
NTD2,b2744
NTD2,b0675
GLCRAL,b3126
NTD4,b2744
NTD4,b0675
NTD5,b2291
NTD5,b4374
NTD5,b2744
NTD5,b2361
KAS14,b1095
KAS14,b2323
HEMEOS,b0428
ADMDC,b0120
AGMT,b2937
NTD6,b2291
NTD6,b2744
NTD6,b2361
LGTHL,b1651
PYDXPP,b0446
PYDXPP,b0766
PYDXPP,b3826
PYDXPP,b0675
PDXPP,b0766
ARGDC,b4117
HACD6,b3846
HACD6,b2341
ECOAH1,b3846
ECOAH1,b2341
ECOAH2,b3846
ECOAH2,b2341
ARGSS,b3172
AGPR,b3958
SPMS,b0121
G1SAT,b0154
KDOCT2,b0918
ECOAH3,b3846
ECOAH3,b2341
UGLT,b0758
EDTXS1,b1054
DXPS,b0420
OAADC,b1850
MNNH,b4322
CDPMEK,b1208
EDTXS2,b1855
ALTRH,b3091
MECDPS,b2746
GUI1,b3092
EDTXS3,b2378
PGAMT,b3176
DDGLK,b3526
EDTXS4,b1855
XYLI2,b3565
PMANM,b2048
ICL,b4015
UAGDP,b3730
UAGCVT,b3189
GLUR,b3967
UAG2E,b3786
GLYCL,b2904
GLYCL,b2903
GLYCL,b2905
GLYCL,b0116
NNDPR,b0109
HCYSMT,b0261
MACPD,b2323
DMQMT,b2232
UDPG4E,b0759
LACZ,b0344
TRE6PH,b4239
XYLI1,b3565
PPC,b3956
ICHORS_copy1,b0593
HACD4,b3846
HACD4,b2341
G3PT,b0822
G3PT,b0675
CINNDO,b2539
CINNDO,b2542
CINNDO,b2538
CINNDO,b2540
DHPPD,b2541
HACD5,b3846
HACD5,b2341
DHCIND,b2541
HACD7,b3846
HACD7,b2341
CITL,b0616
CITL,b0617
CITL,b0614
CITL,b0615
GOFUCR,b2052
PYDXK,b1636
PYDXK,b2418
HPPK2,b0142
PTPATi,b3634
HEX7,b0394
DXPRIi,b0173
GTPCII2,b1277
SADT2,b2751
SADT2,b2752
OPHBDC,b3843
AACPS1,b1094
AACPS1,b2836
OHPHM,b2232
GHMT2r,b2551
DHORD2,b0945
LCARS,b2799
ALCD19,b1478
ALCD19,b1241
RMPA,b3902
SBTPD,b2705
PFK_2,b3916
GLTPD,b2091
ACACCT,b1694
ACACCT,b2222
ACACCT,b2221
SDPDS,b2472
BUTCT,b2222
BUTCT,b2221
TGBPA,b3137
TGBPA,b3132
TGBPA,b2095
TGBPA,b2096
MANAO,b4323
TAGURr,b1521
DMSOR1,b0894
DMSOR1,b0895
DMSOR1,b0896
DMSOR1,b1588
DMSOR1,b1589
DMSOR1,b1587
DMSOR1,b1590
PGLYCP,b3385
2DGULRx,b3553
DKGLCNR2y,b3553
G1PTT,b2039
G1PTT,b3789
TDPGDH,b3788
TDPGDH,b2041
ADCS,b1812
ADCS,b3360
ADCL,b4039
ADCL,b1096
2DGULRy,b3553
DHAPT,b2416
DHAPT,b1200
DHAPT,b2415
DHAPT,b1199
DHAPT,b1198
UDPGALM,b2036
TDPDRE,b2038
TDPDRR,b2040
UMPK,b0171
UMPK,b0910
RZ5PP,b0638
DDPGALA,b4477
DURIK1,b1238
G3PD6,b2241
G3PD6,b2242
G3PD6,b2243
ALLTN,b0512
UAPGR,b3972
UPPRT,b2498
NTD9,b3399
NTD9,b2744
NTD9,b2361
NTD9,b0675
CTPS2,b2780
NTD1,b2291
NTD1,b4374
NTD1,b2744
NTD1,b2361
NTD7,b3399
NTD7,b2744
NTD7,b2361
NTD7,b0675
PAPPT3,b0087
UAGPT3,b0090
NDPK7,b0474
NDPK7,b2518
AOBUTDs,s0001
GLYAT,b3617
ADNUC,b0030
GMHEPPA,b0200
S7PI,b0222
TRPS3,b1260
TRPS3,b1261
F6PA,b0825
F6PA,b3946
AGMHE,b3619
CRNBTCT,b0038
CRNCBCT,b0038
NTD10,b2744
CRNCDH,b0036
GMHEPAT,b3052
ADPT,b0469
IDOND,b4267
IDOND2,b4267
FADRx,b3844
GTPDPK,b2784
GLYCLTDx,b3553
GLYCLTDx,b1033
ADK1,b0474
NDPK2,b0474
NDPK2,b2518
NDPK3,b0474
NDPK3,b2518
HPYRRy,b3553
HPYRRy,b1033
NDPK4,b0474
NDPK4,b2518
ACODA,b3957
ADA,b1623
DADA,b1623
ADD,b3665
FCLT,b0475
FCLT,b2431
FCLT,b1019
HBZOPT,b4040
PNTK,b3974
ADSS,b4177
AGDC,b0677
OCTDPS,b3187
ASNN,b0828
ASNN,b1767
DPCOAK,b0103
HETZK,b2104
ASNS2,b3744
ASNS2,b0674
ASPCT,b4244
ASPCT,b4245
KDOPS,b1215
KDOPP,b3198
DMPPS,b0029
MCOATA,b1092
MCOATA,b1094
IPDPS,b0029
AST,b1747
SGDS,b1744
CYNTAH,b0340
DAPE,b3809
DHDPRy,b0031
HSK,b0003
SDPTA,b1302
SDPTA,b1748
SDPTA,b0907
SDPTA,b3359
SDPTA,b2662
GSPMDA,b2988
GSPMDS,b2988
GUAD,b2883
THRS,b0004
HSST,b4013
PPNDH,b2599
TMAOR1,b0894
TMAOR1,b0895
TMAOR1,b0896
TMAOR1,b1588
TMAOR1,b1589
TMAOR1,b1587
TMAOR1,b1590
TMAOR2,b0894
TMAOR2,b0896
TMAOR2,b0895
DGK1,b3648
DTMPK,b1098
NDPK1,b0474
NDPK1,b2518
TRDR,b0888
TRDR,b2582
TRDR,b3781
DDPA,b1704
DDPA,b0754
DDPA,b2601
NMNDA,b2700
NNAM,b1768
P5CD,b1014
PGMT,b1317
PGMT,b2690
PGMT,b0688
FRUK,b2168
SPMDAT1,b1584
RHCCE,b2687
KG6PDC,b3581
KG6PDC,b4196
SPMDAT2,b1584
TDPADGAT,b3790
MALS,b2976
MALS,b4014
X5PL3E,b3582
X5PL3E,b4197
DOGULNR,b3575
TRE6PP,b1897
BETALDHx,b0312
BETALDHy,b0312
MLTG3,b0403
ADPRDP,b3034
ADPRDP,b3397
DKGLCNR1,b3012
DKGLCNR1,b0207
NADTRHD,b3962
AACPS2,b1094
AACPS2,b2836
FMNRx2,b2763
FMNRx2,b0937
FMNRx2,b3844
FMNRx2,b2764
ACPS1,b3475
ACPS1,b2563
ARAI,b0062
M1PD,b3600
G3PD2,b3608
GALS3,b4119
FCI,b2802
FCLK,b2803
FCLPA,b2800
FCLPA,b2738
GMPS2,b2507
AMPN,b1982
GSNK,b0477
ACCOAL,b0335
ACCOAL,b4069
GALUi,b1236
AACPS3,b1094
AACPS3,b2836
U23GAAT,b0179
UAAGDS,b0085
AACPS4,b1094
AACPS4,b2836
UAMAS,b0091
UAMAGS,b0088
UGLYCH,b0505
NTPP3,b1759
NTPP3,b2251
NTPP3,b2781
NTPP6,b0905
NTPP6,b2781
NTPP7,b2251
NTPP7,b2781
NTPP7,b3248
OP4ENH,b0350
HOPNTAL,b0352
NTPP8,b2781
NTPP8,b3248
P5CR,b0386
CYANST,b2521
CYANST,b3425
CYANST,b2668
DHPPDA2,b0414
3HPPPNH,b0347
G5SADs,s0001
GMAND,b2053
PPCSCT,b2920
CYTD,b2143
AKGDH,b0727
AKGDH,b0726
AKGDH,b0116
HPYRRx,b3553
HPYRRx,b1033
GLYCDx,b3945
ASP1DC,b0131
UGMDDS,b0086
DCYTD,b2143
DBTS,b0778
DCTPD,b2065
UHGADA,b0096
AMANK,b3222
UAGAAT,b1094
UAGAAT,b0181
ATPPRT,b2019
HISTD,b2020
DHDPS,b2478
G1PACT,b3730
GART,b1849
CSND,b0337
GF6PTA,b3729
IGPDH,b2022
PRPPS,b1207
GLUCYS,b2688
PRATPP,b2026
GLUN,b0485
GLUN,b1524
PRMICI,b2024
GLUPRT,b2312
GMPR,b0104
SERAT,b3607
CYSS,b2421
CYSS,b2414
NADS1,b1740
BPNT,b4214
PAPSR,b2762
PAPSR,b2582
PAPSR,b3781
ASPK,b4024
ASPK,b3940
ASPK,b0002
ASAD,b3433
DAPDC,b2838
NTRIR2x,b3365
NTRIR2x,b3366
OCBT,b0273
OCBT,b4254
GARFT,b2500
GPDDA1,b3449
GPDDA2,b3449
PHETA1,b4054
PHETA1,b0928
PHETA1,b3770
PPND,b2600
METAT,b2942
ASCBPL,b4192
ACBIPGT,b1993
TRPS1,b1260
TRPS1,b1261
PRAMPC,b2026
ADOCBLS,b1992
ADOCBIK,b1993
TMPK,b0417
HPPPNDO,b0348
MCITL2,b0331
DXYLK,b3564
MDH3,b2210
SOTA,b1748
DHCINDO,b0348
SGSAD,b1746
HKNDDH,b0349
HKNTDH,b0349
GLYCK2,b3124
PTA2,b2297
MDH2,b2210
ACOTA,b1302
ACOTA,b3359
ACOTA,b1748
ACOTA,b2662
GPDDA5,b3449
PDX5PS,b2564
PDX5PS,b0052
PPBNGS,b0369
ENTCS,b0583
SULR,b2763
SULR,b2764
MANPGH,b0732
URDGLYCD,b0517
CBMKr,b0521
PPNCL2,b3639
PRAGSr,b4005
PRFGS,b2557
AMANAPEr,b3223
ACM6PH,b2428
NNATr,b0639
CYTDH,b0651
CYTDH,b2162
CYTDH,b0030
ETHAAL,b2441
ETHAAL,b2440
MAN1PT2,b2049
PSERT,b0907
AP4AH,b0049
AP5AH,b0049
ADNCYC,b3806
AIRC2,b0522
GAPD,b1779
MI1PP,b2533
MCITS,b0333
PPAKr,b3115
HEX1,b2388
GND,b2029
TAUDO,b0368
NTP3,b4352
NTP3,b4173
NTP3,b3590
NTP3,b2918
NTP3,b4161
NTP3,b2727
NTP3,b2173
PPM2,b4383
MOAT2,b3633
G6PDH2r,b1852
ME2,b2463
ARGSL,b3960
CBPS,b0032
CBPS,b0033
GLU5K,b0242
IPPS,b0074
ACOATA,b1091
ACOATA,b1094
NADH5,b0046
NADH5,b3713
NADH5,b1004
NADH5,b1109
MOHMT,b0134
MLTG2,b0403
MLTG1,b0403
AMALT3,b3416
MLTP3,b3417
SPODM,b1656
SPODM,b3908
AHCYSNS,b0159
ACNML,b3225
TMK,b1106
NTPP4,b1759
NTPP4,b2781
GMPS,b2507
CAT,b3942
CAT,b1732
UDPGD,b2028
SERASr,b0586
GLCRD,b2788
GLCRD,b2787
PPPNDO,b2539
PPPNDO,b2542
PPPNDO,b2538
PPPNDO,b2540
26DAHtex,b2215
26DAHtex,b0929
26DAHtex,b0241
26DAHtex,b1377
HCINNMtex,b2215
HCINNMtex,b0929
HCINNMtex,b0241
HCINNMtex,b1377
HPPPNtex,b2215
HPPPNtex,b0929
HPPPNtex,b0241
HPPPNtex,b1377
ACtex,b2215
ACtex,b0929
ACtex,b0241
ACtex,b1377
ACALDtex,b2215
ACALDtex,b0929
ACALDtex,b0241
ACALDtex,b1377
CHRPL,b4039
CHRPL,b1096
TDPAGTA,b3791
UACMAMO,b3787
FBA3,b2925
PMPK,b2103
LCADi,b1415
ACMANAtex,b2215
ACMANAtex,b0929
ACMANAtex,b0241
ACMANAtex,b1377
ACMUMtex,b2215
ACMUMtex,b0929
ACMUMtex,b0241
ACMUMtex,b1377
ACACT7r,b3845
ACACT7r,b2342
PSP_L,b4388
ADK3,b0474
GLUDC,b3517
GLUDC,b1493
ACACT2r,b3845
ACACT2r,b2342
BSORy,b3551
DMSOR2,b0894
DMSOR2,b0896
DMSOR2,b0895
ADSK,b2750
ACACT3r,b3845
ACACT3r,b2342
ACACT4r,b3845
ACACT4r,b2342
SUCCt2_2pp,b0010
SUCCt2_2pp,b3528
SUCFUMtpp,b4123
SUCFUMtpp,b0621
SUCFUMtpp,b4138
HSDy,b3940
HSDy,b0002
CYSTL,b1622
CYSTL,b3008
ACMAMUT,b3794
SHSL1,b3939
SSALy,b2661
SSALy,b1525
SUCptspp,b2417
SUCptspp,b2416
SUCptspp,b2429
SUCptspp,b2415
SULabcpp,b0763
SULabcpp,b2423
SULabcpp,b3917
SULabcpp,b2425
SULabcpp,b2422
SULabcpp,b0765
SULabcpp,b0764
SULabcpp,b2424
TSULabcpp,b2423
TSULabcpp,b3917
TSULabcpp,b2425
TSULabcpp,b2422
TSULabcpp,b2424
TARTRt7pp,b3063
DDGALK,b3693
AB6PGH,b2716
AB6PGH,b2901
AB6PGH,b3721
AMALT1,b3416
AHGDx,b2913
MLTP2,b3417
TAURabcpp,b0366
TAURabcpp,b0365
TAURabcpp,b0367
THMDt2pp_copy1,b2964
THMDt2pp_copy1,b2393
3HCINNMH,b0347
BSORx,b3551
PACCOAL,b1398
GLUtex,b2215
GLUtex,b0929
GLUtex,b0241
GLUtex,b1377
Kt2pp,b3747
Kt2pp,b1363
Kt2pp,b3849
Kt2pp,b1291
Kt2pp,b1250
Kt2pp,b3290
GLYtex,b2215
GLYtex,b0929
GLYtex,b0241
GLYtex,b1377
GP4GH,b0049
GLYALDtex,b2215
GLYALDtex,b0929
GLYALDtex,b0241
GLYALDtex,b1377
AKGt2rpp,b2587
ACGAMT,b3784
XYLt2pp,b4031
GLYBtex,b2215
GLYBtex,b0929
GLYBtex,b0241
GLYBtex,b1377
GLYCtex,b2215
GLYCtex,b0929
GLYCtex,b0241
GLYCtex,b1377
GLYC3Ptex,b2215
GLYC3Ptex,b0929
GLYC3Ptex,b0241
GLYC3Ptex,b1377
GLYCLTtex,b2215
GLYCLTtex,b0929
GLYCLTtex,b0241
GLYCLTtex,b1377
GTPtex,b2215
GTPtex,b0929
GTPtex,b0241
GTPtex,b1377
GUAtex,b0411
Htex,b2215
Htex,b0929
Htex,b0241
